Kod;Nazwa;Miesiące;Wyszczególnienie;Rok;Wartosc;Jednostka miary;Atrybut
200000;DOLNOŚLĄSKIE;listopad;stopa bezrobocia rejestrowanego;2016;7,2;%;
200000;DOLNOŚLĄSKIE;listopad;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;grudzień;stopa bezrobocia rejestrowanego;2014;10,4;%;
200000;DOLNOŚLĄSKIE;grudzień;stopa bezrobocia rejestrowanego;2015;8,5;%;
200000;DOLNOŚLĄSKIE;grudzień;stopa bezrobocia rejestrowanego;2016;7,3;%;
200000;DOLNOŚLĄSKIE;grudzień;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;styczeń;stopa bezrobocia rejestrowanego;2014;13,3;%;
201000;Powiat bolesławiecki;styczeń;stopa bezrobocia rejestrowanego;2015;9,7;%;
201000;Powiat bolesławiecki;styczeń;stopa bezrobocia rejestrowanego;2016;8;%;
201000;Powiat bolesławiecki;styczeń;stopa bezrobocia rejestrowanego;2017;6,3;%;
201000;Powiat bolesławiecki;luty;stopa bezrobocia rejestrowanego;2014;13,4;%;
201000;Powiat bolesławiecki;luty;stopa bezrobocia rejestrowanego;2015;10;%;
201000;Powiat bolesławiecki;luty;stopa bezrobocia rejestrowanego;2016;8,1;%;
201000;Powiat bolesławiecki;luty;stopa bezrobocia rejestrowanego;2017;6,1;%;
201000;Powiat bolesławiecki;marzec;stopa bezrobocia rejestrowanego;2014;12,8;%;
201000;Powiat bolesławiecki;marzec;stopa bezrobocia rejestrowanego;2015;9,5;%;
201000;Powiat bolesławiecki;marzec;stopa bezrobocia rejestrowanego;2016;7,7;%;
201000;Powiat bolesławiecki;marzec;stopa bezrobocia rejestrowanego;2017;5,7;%;
201000;Powiat bolesławiecki;kwiecień;stopa bezrobocia rejestrowanego;2014;11,9;%;
201000;Powiat bolesławiecki;kwiecień;stopa bezrobocia rejestrowanego;2015;9;%;
201000;Powiat bolesławiecki;kwiecień;stopa bezrobocia rejestrowanego;2016;6,9;%;
201000;Powiat bolesławiecki;kwiecień;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;maj;stopa bezrobocia rejestrowanego;2014;11,3;%;
201000;Powiat bolesławiecki;maj;stopa bezrobocia rejestrowanego;2015;8,5;%;
201000;Powiat bolesławiecki;maj;stopa bezrobocia rejestrowanego;2016;6,4;%;
201000;Powiat bolesławiecki;maj;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;czerwiec;stopa bezrobocia rejestrowanego;2014;10,6;%;
201000;Powiat bolesławiecki;czerwiec;stopa bezrobocia rejestrowanego;2015;8;%;
201000;Powiat bolesławiecki;czerwiec;stopa bezrobocia rejestrowanego;2016;6;%;
201000;Powiat bolesławiecki;czerwiec;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;lipiec;stopa bezrobocia rejestrowanego;2014;10,1;%;
201000;Powiat bolesławiecki;lipiec;stopa bezrobocia rejestrowanego;2015;7,8;%;
201000;Powiat bolesławiecki;lipiec;stopa bezrobocia rejestrowanego;2016;5,8;%;
201000;Powiat bolesławiecki;lipiec;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;sierpień;stopa bezrobocia rejestrowanego;2014;9,7;%;
201000;Powiat bolesławiecki;sierpień;stopa bezrobocia rejestrowanego;2015;7,6;%;
201000;Powiat bolesławiecki;sierpień;stopa bezrobocia rejestrowanego;2016;5,8;%;
201000;Powiat bolesławiecki;sierpień;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;wrzesień;stopa bezrobocia rejestrowanego;2014;9,2;%;
201000;Powiat bolesławiecki;wrzesień;stopa bezrobocia rejestrowanego;2015;7,5;%;
201000;Powiat bolesławiecki;wrzesień;stopa bezrobocia rejestrowanego;2016;5,7;%;
201000;Powiat bolesławiecki;wrzesień;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;październik;stopa bezrobocia rejestrowanego;2014;9;%;
201000;Powiat bolesławiecki;październik;stopa bezrobocia rejestrowanego;2015;7,4;%;
201000;Powiat bolesławiecki;październik;stopa bezrobocia rejestrowanego;2016;5,5;%;
201000;Powiat bolesławiecki;październik;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;listopad;stopa bezrobocia rejestrowanego;2014;8,9;%;
201000;Powiat bolesławiecki;listopad;stopa bezrobocia rejestrowanego;2015;7,5;%;
201000;Powiat bolesławiecki;listopad;stopa bezrobocia rejestrowanego;2016;5,6;%;
201000;Powiat bolesławiecki;listopad;stopa bezrobocia rejestrowanego;2017;;%;n
201000;Powiat bolesławiecki;grudzień;stopa bezrobocia rejestrowanego;2014;8,9;%;
201000;Powiat bolesławiecki;grudzień;stopa bezrobocia rejestrowanego;2015;7,6;%;
201000;Powiat bolesławiecki;grudzień;stopa bezrobocia rejestrowanego;2016;5,9;%;
201000;Powiat bolesławiecki;grudzień;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;styczeń;stopa bezrobocia rejestrowanego;2014;21,1;%;
202000;Powiat dzierżoniowski;styczeń;stopa bezrobocia rejestrowanego;2015;16,6;%;
202000;Powiat dzierżoniowski;styczeń;stopa bezrobocia rejestrowanego;2016;12,6;%;
202000;Powiat dzierżoniowski;styczeń;stopa bezrobocia rejestrowanego;2017;10,6;%;
202000;Powiat dzierżoniowski;luty;stopa bezrobocia rejestrowanego;2014;20,9;%;
202000;Powiat dzierżoniowski;luty;stopa bezrobocia rejestrowanego;2015;16,9;%;
202000;Powiat dzierżoniowski;luty;stopa bezrobocia rejestrowanego;2016;13;%;
202000;Powiat dzierżoniowski;luty;stopa bezrobocia rejestrowanego;2017;10,6;%;
202000;Powiat dzierżoniowski;marzec;stopa bezrobocia rejestrowanego;2014;20,5;%;
202000;Powiat dzierżoniowski;marzec;stopa bezrobocia rejestrowanego;2015;16,7;%;
202000;Powiat dzierżoniowski;marzec;stopa bezrobocia rejestrowanego;2016;13,1;%;
202000;Powiat dzierżoniowski;marzec;stopa bezrobocia rejestrowanego;2017;10,3;%;
202000;Powiat dzierżoniowski;kwiecień;stopa bezrobocia rejestrowanego;2014;19,9;%;
202000;Powiat dzierżoniowski;kwiecień;stopa bezrobocia rejestrowanego;2015;15,9;%;
202000;Powiat dzierżoniowski;kwiecień;stopa bezrobocia rejestrowanego;2016;12,8;%;
202000;Powiat dzierżoniowski;kwiecień;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;maj;stopa bezrobocia rejestrowanego;2014;18,7;%;
202000;Powiat dzierżoniowski;maj;stopa bezrobocia rejestrowanego;2015;14,8;%;
202000;Powiat dzierżoniowski;maj;stopa bezrobocia rejestrowanego;2016;11,7;%;
202000;Powiat dzierżoniowski;maj;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;czerwiec;stopa bezrobocia rejestrowanego;2014;17,7;%;
202000;Powiat dzierżoniowski;czerwiec;stopa bezrobocia rejestrowanego;2015;13,8;%;
202000;Powiat dzierżoniowski;czerwiec;stopa bezrobocia rejestrowanego;2016;11;%;
202000;Powiat dzierżoniowski;czerwiec;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;lipiec;stopa bezrobocia rejestrowanego;2014;17,2;%;
202000;Powiat dzierżoniowski;lipiec;stopa bezrobocia rejestrowanego;2015;12,8;%;
202000;Powiat dzierżoniowski;lipiec;stopa bezrobocia rejestrowanego;2016;10,6;%;
202000;Powiat dzierżoniowski;lipiec;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;sierpień;stopa bezrobocia rejestrowanego;2014;17;%;
202000;Powiat dzierżoniowski;sierpień;stopa bezrobocia rejestrowanego;2015;12,1;%;
202000;Powiat dzierżoniowski;sierpień;stopa bezrobocia rejestrowanego;2016;10,3;%;
202000;Powiat dzierżoniowski;sierpień;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;wrzesień;stopa bezrobocia rejestrowanego;2014;16,6;%;
202000;Powiat dzierżoniowski;wrzesień;stopa bezrobocia rejestrowanego;2015;11,9;%;
202000;Powiat dzierżoniowski;wrzesień;stopa bezrobocia rejestrowanego;2016;10;%;
202000;Powiat dzierżoniowski;wrzesień;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;październik;stopa bezrobocia rejestrowanego;2014;16;%;
202000;Powiat dzierżoniowski;październik;stopa bezrobocia rejestrowanego;2015;11,5;%;
202000;Powiat dzierżoniowski;październik;stopa bezrobocia rejestrowanego;2016;10;%;
202000;Powiat dzierżoniowski;październik;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;listopad;stopa bezrobocia rejestrowanego;2014;16,4;%;
202000;Powiat dzierżoniowski;listopad;stopa bezrobocia rejestrowanego;2015;11,6;%;
202000;Powiat dzierżoniowski;listopad;stopa bezrobocia rejestrowanego;2016;10;%;
202000;Powiat dzierżoniowski;listopad;stopa bezrobocia rejestrowanego;2017;;%;n
202000;Powiat dzierżoniowski;grudzień;stopa bezrobocia rejestrowanego;2014;15,8;%;
202000;Powiat dzierżoniowski;grudzień;stopa bezrobocia rejestrowanego;2015;11,9;%;
202000;Powiat dzierżoniowski;grudzień;stopa bezrobocia rejestrowanego;2016;10;%;
202000;Powiat dzierżoniowski;grudzień;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;styczeń;stopa bezrobocia rejestrowanego;2014;15,5;%;
203000;Powiat głogowski;styczeń;stopa bezrobocia rejestrowanego;2015;14,1;%;
203000;Powiat głogowski;styczeń;stopa bezrobocia rejestrowanego;2016;12,7;%;
203000;Powiat głogowski;styczeń;stopa bezrobocia rejestrowanego;2017;10,5;%;
203000;Powiat głogowski;luty;stopa bezrobocia rejestrowanego;2014;15,8;%;
203000;Powiat głogowski;luty;stopa bezrobocia rejestrowanego;2015;14;%;
203000;Powiat głogowski;luty;stopa bezrobocia rejestrowanego;2016;13,1;%;
203000;Powiat głogowski;luty;stopa bezrobocia rejestrowanego;2017;10,7;%;
203000;Powiat głogowski;marzec;stopa bezrobocia rejestrowanego;2014;15,7;%;
203000;Powiat głogowski;marzec;stopa bezrobocia rejestrowanego;2015;13,5;%;
203000;Powiat głogowski;marzec;stopa bezrobocia rejestrowanego;2016;13,1;%;
203000;Powiat głogowski;marzec;stopa bezrobocia rejestrowanego;2017;10,3;%;
203000;Powiat głogowski;kwiecień;stopa bezrobocia rejestrowanego;2014;15;%;
203000;Powiat głogowski;kwiecień;stopa bezrobocia rejestrowanego;2015;13;%;
203000;Powiat głogowski;kwiecień;stopa bezrobocia rejestrowanego;2016;12,7;%;
203000;Powiat głogowski;kwiecień;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;maj;stopa bezrobocia rejestrowanego;2014;14,4;%;
203000;Powiat głogowski;maj;stopa bezrobocia rejestrowanego;2015;12,7;%;
203000;Powiat głogowski;maj;stopa bezrobocia rejestrowanego;2016;12,1;%;
203000;Powiat głogowski;maj;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;czerwiec;stopa bezrobocia rejestrowanego;2014;14;%;
203000;Powiat głogowski;czerwiec;stopa bezrobocia rejestrowanego;2015;12;%;
203000;Powiat głogowski;czerwiec;stopa bezrobocia rejestrowanego;2016;11,8;%;
203000;Powiat głogowski;czerwiec;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;lipiec;stopa bezrobocia rejestrowanego;2014;13,9;%;
203000;Powiat głogowski;lipiec;stopa bezrobocia rejestrowanego;2015;12,1;%;
203000;Powiat głogowski;lipiec;stopa bezrobocia rejestrowanego;2016;11,5;%;
203000;Powiat głogowski;lipiec;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;sierpień;stopa bezrobocia rejestrowanego;2014;13,9;%;
203000;Powiat głogowski;sierpień;stopa bezrobocia rejestrowanego;2015;11,9;%;
203000;Powiat głogowski;sierpień;stopa bezrobocia rejestrowanego;2016;11,4;%;
203000;Powiat głogowski;sierpień;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;wrzesień;stopa bezrobocia rejestrowanego;2014;13,8;%;
203000;Powiat głogowski;wrzesień;stopa bezrobocia rejestrowanego;2015;11,8;%;
203000;Powiat głogowski;wrzesień;stopa bezrobocia rejestrowanego;2016;11,2;%;
203000;Powiat głogowski;wrzesień;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;październik;stopa bezrobocia rejestrowanego;2014;13,7;%;
203000;Powiat głogowski;październik;stopa bezrobocia rejestrowanego;2015;12;%;
203000;Powiat głogowski;październik;stopa bezrobocia rejestrowanego;2016;10,8;%;
203000;Powiat głogowski;październik;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;listopad;stopa bezrobocia rejestrowanego;2014;14;%;
203000;Powiat głogowski;listopad;stopa bezrobocia rejestrowanego;2015;12,3;%;
203000;Powiat głogowski;listopad;stopa bezrobocia rejestrowanego;2016;10,3;%;
203000;Powiat głogowski;listopad;stopa bezrobocia rejestrowanego;2017;;%;n
203000;Powiat głogowski;grudzień;stopa bezrobocia rejestrowanego;2014;13,6;%;
203000;Powiat głogowski;grudzień;stopa bezrobocia rejestrowanego;2015;12,5;%;
203000;Powiat głogowski;grudzień;stopa bezrobocia rejestrowanego;2016;10,3;%;
203000;Powiat głogowski;grudzień;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;styczeń;stopa bezrobocia rejestrowanego;2014;29,2;%;
204000;Powiat górowski;styczeń;stopa bezrobocia rejestrowanego;2015;24,7;%;
204000;Powiat górowski;styczeń;stopa bezrobocia rejestrowanego;2016;23;%;
204000;Powiat górowski;styczeń;stopa bezrobocia rejestrowanego;2017;19,4;%;
204000;Powiat górowski;luty;stopa bezrobocia rejestrowanego;2014;28,7;%;
204000;Powiat górowski;luty;stopa bezrobocia rejestrowanego;2015;24,5;%;
204000;Powiat górowski;luty;stopa bezrobocia rejestrowanego;2016;22,4;%;
204000;Powiat górowski;luty;stopa bezrobocia rejestrowanego;2017;18,9;%;
204000;Powiat górowski;marzec;stopa bezrobocia rejestrowanego;2014;27,9;%;
204000;Powiat górowski;marzec;stopa bezrobocia rejestrowanego;2015;23,8;%;
204000;Powiat górowski;marzec;stopa bezrobocia rejestrowanego;2016;21,7;%;
204000;Powiat górowski;marzec;stopa bezrobocia rejestrowanego;2017;18,3;%;
204000;Powiat górowski;kwiecień;stopa bezrobocia rejestrowanego;2014;26,9;%;
204000;Powiat górowski;kwiecień;stopa bezrobocia rejestrowanego;2015;22,8;%;
204000;Powiat górowski;kwiecień;stopa bezrobocia rejestrowanego;2016;20,6;%;
204000;Powiat górowski;kwiecień;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;maj;stopa bezrobocia rejestrowanego;2014;26;%;
204000;Powiat górowski;maj;stopa bezrobocia rejestrowanego;2015;21,8;%;
204000;Powiat górowski;maj;stopa bezrobocia rejestrowanego;2016;20;%;
204000;Powiat górowski;maj;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;czerwiec;stopa bezrobocia rejestrowanego;2014;25;%;
204000;Powiat górowski;czerwiec;stopa bezrobocia rejestrowanego;2015;20,8;%;
204000;Powiat górowski;czerwiec;stopa bezrobocia rejestrowanego;2016;19,4;%;
204000;Powiat górowski;czerwiec;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;lipiec;stopa bezrobocia rejestrowanego;2014;24,3;%;
204000;Powiat górowski;lipiec;stopa bezrobocia rejestrowanego;2015;20,8;%;
204000;Powiat górowski;lipiec;stopa bezrobocia rejestrowanego;2016;19,1;%;
204000;Powiat górowski;lipiec;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;sierpień;stopa bezrobocia rejestrowanego;2014;24,3;%;
204000;Powiat górowski;sierpień;stopa bezrobocia rejestrowanego;2015;20,6;%;
204000;Powiat górowski;sierpień;stopa bezrobocia rejestrowanego;2016;18,8;%;
204000;Powiat górowski;sierpień;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;wrzesień;stopa bezrobocia rejestrowanego;2014;23,4;%;
204000;Powiat górowski;wrzesień;stopa bezrobocia rejestrowanego;2015;20,9;%;
204000;Powiat górowski;wrzesień;stopa bezrobocia rejestrowanego;2016;19,2;%;
204000;Powiat górowski;wrzesień;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;październik;stopa bezrobocia rejestrowanego;2014;23,3;%;
204000;Powiat górowski;październik;stopa bezrobocia rejestrowanego;2015;20,8;%;
204000;Powiat górowski;październik;stopa bezrobocia rejestrowanego;2016;18,4;%;
204000;Powiat górowski;październik;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;listopad;stopa bezrobocia rejestrowanego;2014;23,2;%;
204000;Powiat górowski;listopad;stopa bezrobocia rejestrowanego;2015;21;%;
204000;Powiat górowski;listopad;stopa bezrobocia rejestrowanego;2016;17,9;%;
204000;Powiat górowski;listopad;stopa bezrobocia rejestrowanego;2017;;%;n
204000;Powiat górowski;grudzień;stopa bezrobocia rejestrowanego;2014;23,4;%;
204000;Powiat górowski;grudzień;stopa bezrobocia rejestrowanego;2015;22,2;%;
204000;Powiat górowski;grudzień;stopa bezrobocia rejestrowanego;2016;18,5;%;
204000;Powiat górowski;grudzień;stopa bezrobocia rejestrowanego;2017;;%;n
205000;Powiat jaworski;styczeń;stopa bezrobocia rejestrowanego;2014;25,4;%;
205000;Powiat jaworski;styczeń;stopa bezrobocia rejestrowanego;2015;20,3;%;
205000;Powiat jaworski;styczeń;stopa bezrobocia rejestrowanego;2016;18,4;%;
205000;Powiat jaworski;styczeń;stopa bezrobocia rejestrowanego;2017;16,8;%;
205000;Powiat jaworski;luty;stopa bezrobocia rejestrowanego;2014;25,3;%;
205000;Powiat jaworski;luty;stopa bezrobocia rejestrowanego;2015;20,4;%;
205000;Powiat jaworski;luty;stopa bezrobocia rejestrowanego;2016;18,4;%;
205000;Powiat jaworski;luty;stopa bezrobocia rejestrowanego;2017;16,7;%;
205000;Powiat jaworski;marzec;stopa bezrobocia rejestrowanego;2014;24,3;%;
205000;Powiat jaworski;marzec;stopa bezrobocia rejestrowanego;2015;19,6;%;
205000;Powiat jaworski;marzec;stopa bezrobocia rejestrowanego;2016;17,7;%;
205000;Powiat jaworski;marzec;stopa bezrobocia rejestrowanego;2017;16,1;%;
205000;Powiat jaworski;kwiecień;stopa bezrobocia rejestrowanego;2014;22,6;%;
205000;Powiat jaworski;kwiecień;stopa bezrobocia rejestrowanego;2015;18,8;%;
205000;Powiat jaworski;kwiecień;stopa bezrobocia rejestrowanego;2016;16,5;%;
205000;Powiat jaworski;kwiecień;stopa bezrobocia rejestrowanego;2017;;%;n
205000;Powiat jaworski;maj;stopa bezrobocia rejestrowanego;2014;21,3;%;
205000;Powiat jaworski;maj;stopa bezrobocia rejestrowanego;2015;18,1;%;
205000;Powiat jaworski;maj;stopa bezrobocia rejestrowanego;2016;15,8;%;
205000;Powiat jaworski;maj;stopa bezrobocia rejestrowanego;2017;;%;n
205000;Powiat jaworski;czerwiec;stopa bezrobocia rejestrowanego;2014;20,9;%;
205000;Powiat jaworski;czerwiec;stopa bezrobocia rejestrowanego;2015;17,1;%;
205000;Powiat jaworski;czerwiec;stopa bezrobocia rejestrowanego;2016;15,1;%;
205000;Powiat jaworski;czerwiec;stopa bezrobocia rejestrowanego;2017;;%;n
205000;Powiat jaworski;lipiec;stopa bezrobocia rejestrowanego;2014;20,6;%;
205000;Powiat jaworski;lipiec;stopa bezrobocia rejestrowanego;2015;16,6;%;
