KIERUNEK;OBSZAR_KOD;OBSZAR;DZIEDZINA_KOD;DZIEDZINA;DYSCYPLINA_KOD;DYSCYPLINA
6034;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;3;bibliologia i informatologia
6035;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;6;historia
6036;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;6;historia
6037;0;NA;0;NA;0;NA
6038;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;7;historia sztuki
6039;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;7;historia sztuki
6040;0;NA;0;NA;0;NA
6041;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6042;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6043;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;1;archeologia
6044;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;1;archeologia
6045;0;NA;0;NA;0;NA
6046;3;obszar nauk przyrodniczych;8;dziedzina nauk o Ziemi;39;geologia
6047;3;obszar nauk przyrodniczych;8;dziedzina nauk o Ziemi;39;geologia
6048;0;NA;0;NA;0;NA
6050;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6052;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6053;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6054;0;NA;0;NA;0;NA
6057;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6058;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
6059;0;NA;0;NA;0;NA
6060;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;5;filozofia
6061;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;5;filozofia
6062;0;NA;0;NA;0;NA
6063;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6064;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6065;0;NA;0;NA;0;NA
6066;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;15;nauki o rodzinie
6067;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;15;nauki o rodzinie
6068;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6069;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6070;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
6071;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
6072;0;NA;0;NA;0;NA
6073;5;obszar nauk społecznych;14;dziedzina nauk społecznych;59;nauki o bezpieczeństwie
6074;5;obszar nauk społecznych;14;dziedzina nauk społecznych;59;nauki o bezpieczeństwie
6075;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6076;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6077;0;NA;0;NA;0;NA
6078;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6079;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6080;0;NA;0;NA;0;NA
6081;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6082;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6083;0;NA;0;NA;0;NA
6084;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6085;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6086;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6087;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
6088;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
6089;5;obszar nauk społecznych;13;dziedzina nauk prawnych;57;prawo
6090;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6091;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6092;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6093;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6095;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6096;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6097;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;31;biologia
6098;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;31;biologia
6099;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6100;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6106;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6107;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6109;0;NA;0;NA;0;NA
6110;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;78;matematyka
6111;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;78;matematyka
6113;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6114;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6115;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6117;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6120;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6121;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6122;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
6123;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
6125;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6126;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6128;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6129;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6130;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6131;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6133;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6134;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6135;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6136;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6137;5;obszar nauk społecznych;13;dziedzina nauk prawnych;999;studia interdyscyplinarne
6138;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6139;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6140;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6141;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6142;6;obszar nauk ścisłych;15;dziedzina nauk chemicznych;70;chemia
6145;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;31;biologia
6146;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;31;biologia
6148;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
6149;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
6150;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6151;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6152;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6153;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6155;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6157;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6158;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6159;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6160;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6161;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6162;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6163;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6164;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6166;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6167;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6168;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6169;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6171;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6172;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6173;5;obszar nauk społecznych;14;dziedzina nauk społecznych;66;psychologia
6174;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6175;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
6176;5;obszar nauk społecznych;14;dziedzina nauk społecznych;62;nauki o polityce
6177;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6178;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6179;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6180;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6181;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6182;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6183;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6184;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;78;matematyka
6185;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;78;matematyka
6186;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;999;studia interdyscyplinarne
6187;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;999;studia interdyscyplinarne
6188;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6189;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6190;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6191;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6192;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6193;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
6194;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;999;studia interdyscyplinarne
6195;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
6196;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6197;5;obszar nauk społecznych;13;dziedzina nauk prawnych;57;prawo
6198;5;obszar nauk społecznych;13;dziedzina nauk prawnych;999;studia interdyscyplinarne
6199;5;obszar nauk społecznych;13;dziedzina nauk prawnych;999;studia interdyscyplinarne
6201;3;obszar nauk przyrodniczych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6202;3;obszar nauk przyrodniczych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6203;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6204;3;obszar nauk przyrodniczych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6205;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6206;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6207;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6208;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6209;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6210;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6211;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6212;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6213;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6214;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6215;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6216;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6217;6;obszar nauk ścisłych;15;dziedzina nauk chemicznych;70;chemia
6220;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6221;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6222;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6223;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6224;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6225;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6226;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6228;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6230;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6231;0;NA;0;NA;0;NA
6232;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6233;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6234;0;NA;0;NA;0;NA
6236;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6237;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6239;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6240;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6241;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6244;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6245;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6246;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6247;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6249;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;7;historia sztuki
6250;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;7;historia sztuki
6251;0;NA;0;NA;0;NA
6252;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;6;historia
6253;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;6;historia
6254;0;NA;0;NA;0;NA
6255;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;4;etnologia
6256;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;4;etnologia
6258;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;1;archeologia
6259;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;1;archeologia
6260;0;NA;0;NA;0;NA
6261;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6262;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6263;0;NA;0;NA;0;NA
6264;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6265;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6266;0;NA;0;NA;0;NA
6267;5;obszar nauk społecznych;14;dziedzina nauk społecznych;999;studia interdyscyplinarne
6268;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
6269;5;obszar nauk społecznych;14;dziedzina nauk społecznych;67;socjologia
6270;0;NA;0;NA;0;NA
6271;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;9;kulturoznawstwo
6272;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;9;kulturoznawstwo
6273;0;NA;0;NA;0;NA
6274;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;5;filozofia
6275;0;NA;0;NA;0;NA
6276;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6277;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6278;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6279;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6280;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6281;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6283;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6284;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6285;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6286;0;NA;0;NA;0;NA
6287;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6288;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6289;0;NA;0;NA;0;NA
6290;3;obszar nauk przyrodniczych;8;dziedzina nauk o Ziemi;39;geologia
6291;3;obszar nauk przyrodniczych;8;dziedzina nauk o Ziemi;39;geologia
6292;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6293;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6294;0;NA;0;NA;0;NA
6295;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6296;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6297;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6299;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;74;biofizyka
6300;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;74;biofizyka
6301;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6302;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6303;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;73;astronomia
6306;6;obszar nauk ścisłych;15;dziedzina nauk chemicznych;70;chemia
6307;6;obszar nauk ścisłych;15;dziedzina nauk chemicznych;70;chemia
6309;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6310;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6311;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6312;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6313;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6314;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6315;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6316;3;obszar nauk przyrodniczych;7;dziedzina nauk biologicznych;999;studia interdyscyplinarne
6318;1;obszar nauk humanistycznych;2;dziedzina nauk teologicznych;22;dziedzina nauk teologicznych
6319;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
6320;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
6322;5;obszar nauk społecznych;13;dziedzina nauk prawnych;57;prawo
6323;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6324;0;NA;0;NA;0;NA
6325;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
6326;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
6327;5;obszar nauk społecznych;13;dziedzina nauk prawnych;57;prawo
6328;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6329;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6330;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;3;bibliologia i informatologia
6331;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
6332;5;obszar nauk społecznych;14;dziedzina nauk społecznych;65;pedagogika
6333;0;NA;0;NA;0;NA
6334;8;obszar sztuki;21;dziedzina sztuk plastycznych;999;studia interdyscyplinarne
6335;8;obszar sztuki;21;dziedzina sztuk plastycznych;999;studia interdyscyplinarne
6336;8;obszar sztuki;20;dziedzina sztuk muzycznych;999;studia interdyscyplinarne
6338;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;78;matematyka
6340;0;NA;0;NA;0;NA
6341;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;77;informatyka
6342;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;77;informatyka
6343;0;NA;0;NA;0;NA
6344;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6345;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6346;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;26;stomatologia
6347;2;obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej;4;dziedzina nauk medycznych;25;medycyna
6348;5;obszar nauk społecznych;13;dziedzina nauk prawnych;57;prawo
6349;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
6350;5;obszar nauk społecznych;13;dziedzina nauk prawnych;56;nauki o administracji
6351;0;NA;0;NA;0;NA
6355;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6356;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;75;fizyka
6358;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;77;informatyka
6359;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;77;informatyka
6360;0;NA;0;NA;0;NA
6361;0;NA;0;NA;0;NA
6362;6;obszar nauk ścisłych;16;dziedzina nauk fizycznych;73;astronomia
